country,code,year,emission
Brazil,BRA,1966,64211635.32
Brazil,BRA,1967,66079408.3
Brazil,BRA,1968,77271373.16
Brazil,BRA,1969,84132709.41
Brazil,BRA,1970,93530494.44
Brazil,BRA,1971,102357941.2
Brazil,BRA,1972,114014328.2
Brazil,BRA,1973,132019609.9
Brazil,BRA,1974,142927313.7
Brazil,BRA,1975,150513658.4
Brazil,BRA,1976,154398074.8
Brazil,BRA,1977,162078338.5
Brazil,BRA,1978,175931478.8
Brazil,BRA,1979,187155058.6
Brazil,BRA,1980,185758330.6
Brazil,BRA,1981,170467910.3
Brazil,BRA,1982,170789345.3
Brazil,BRA,1983,165426960.6
Brazil,BRA,1984,167605588.9
Brazil,BRA,1985,179936803.4
Brazil,BRA,1986,197226217.1
Brazil,BRA,1987,205788741.6
Brazil,BRA,1988,207562967.6
Brazil,BRA,1989,212113643.7
Brazil,BRA,1990,206921120
Brazil,BRA,1991,217227472
Brazil,BRA,1992,218383504
Brazil,BRA,1993,228333216
Brazil,BRA,1994,239470720
Brazil,BRA,1995,255583376
Brazil,BRA,1996,281194784
Brazil,BRA,1997,296585256
Brazil,BRA,1998,308305720
Brazil,BRA,1999,316282440
Brazil,BRA,2000,324226040
Brazil,BRA,2001,332987400
Brazil,BRA,2002,327434832
Brazil,BRA,2003,317508448
Brazil,BRA,2004,333675144
Brazil,BRA,2005,342086472
Brazil,BRA,2006,341946368
Brazil,BRA,2007,356918752
Brazil,BRA,2008,380344928
Brazil,BRA,2009,360090776
Brazil,BRA,2010,411240192
Brazil,BRA,2011,430194902.3
Brazil,BRA,2012,460063092.5
Brazil,BRA,2013,493593511.3
Brazil,BRA,2014,519526349.7
Brazil,BRA,2015,512081882
Brazil,BRA,2016,473741376
Brazil,BRA,2017,476066778.3
China,CHN,1751,0
China,CHN,1752,0
China,CHN,1753,0
China,CHN,1754,0
China,CHN,1755,0
China,CHN,1756,0
China,CHN,1757,0
China,CHN,1758,0
China,CHN,1759,0
China,CHN,1760,0
China,CHN,1761,0
China,CHN,1762,0
China,CHN,1763,0
China,CHN,1764,0
China,CHN,1765,0
China,CHN,1766,0
China,CHN,1767,0
China,CHN,1768,0
China,CHN,1769,0
China,CHN,1770,0
China,CHN,1771,0
China,CHN,1772,0
China,CHN,1773,0
China,CHN,1774,0
China,CHN,1775,0
China,CHN,1776,0
China,CHN,1777,0
China,CHN,1778,0
China,CHN,1779,0
China,CHN,1780,0
China,CHN,1781,0
China,CHN,1782,0
China,CHN,1783,0
China,CHN,1784,0
China,CHN,1785,0
China,CHN,1786,0
China,CHN,1787,0
China,CHN,1788,0
China,CHN,1789,0
China,CHN,1790,0
China,CHN,1791,0
China,CHN,1792,0
China,CHN,1793,0
China,CHN,1794,0
China,CHN,1795,0
China,CHN,1796,0
China,CHN,1797,0
China,CHN,1798,0
China,CHN,1799,0
China,CHN,1800,0
China,CHN,1801,0
China,CHN,1802,0
China,CHN,1803,0
China,CHN,1804,0
China,CHN,1805,0
China,CHN,1806,0
China,CHN,1807,0
China,CHN,1808,0
China,CHN,1809,0
China,CHN,1810,0
China,CHN,1811,0
China,CHN,1812,0
China,CHN,1813,0
China,CHN,1814,0
China,CHN,1815,0
China,CHN,1816,0
China,CHN,1817,0
China,CHN,1818,0
China,CHN,1819,0
China,CHN,1820,0
China,CHN,1821,0
China,CHN,1822,0
China,CHN,1823,0
China,CHN,1824,0
China,CHN,1825,0
China,CHN,1826,0
China,CHN,1827,0
China,CHN,1828,0
China,CHN,1829,0
China,CHN,1830,0
China,CHN,1831,0
China,CHN,1832,0
China,CHN,1833,0
China,CHN,1834,0
China,CHN,1835,0
China,CHN,1836,0
China,CHN,1837,0
China,CHN,1838,0
China,CHN,1839,0
China,CHN,1840,0
China,CHN,1841,0
China,CHN,1842,0
China,CHN,1843,0
China,CHN,1844,0
China,CHN,1845,0
China,CHN,1846,0
China,CHN,1847,0
China,CHN,1848,0
China,CHN,1849,0
China,CHN,1850,0
China,CHN,1851,0
China,CHN,1852,0
China,CHN,1853,0
China,CHN,1854,0
China,CHN,1855,0
China,CHN,1856,0
China,CHN,1857,0
China,CHN,1858,0
China,CHN,1859,0
China,CHN,1860,0
China,CHN,1861,0
China,CHN,1862,0
China,CHN,1863,0
China,CHN,1864,0
China,CHN,1865,0
China,CHN,1866,0
China,CHN,1867,0
China,CHN,1868,0
China,CHN,1869,0
China,CHN,1870,0
China,CHN,1871,0
China,CHN,1872,0
China,CHN,1873,0
China,CHN,1874,0
China,CHN,1875,0
China,CHN,1876,0
China,CHN,1877,0
China,CHN,1878,0
China,CHN,1879,0
China,CHN,1880,0
China,CHN,1881,0
China,CHN,1882,0
China,CHN,1883,0
China,CHN,1884,0
China,CHN,1885,0
China,CHN,1886,0
China,CHN,1887,0
China,CHN,1899,95264
China,CHN,1902,95264
China,CHN,1903,1963904
China,CHN,1904,2088480
China,CHN,1905,2297328
China,CHN,1906,17110880
China,CHN,1907,16839744
China,CHN,1908,22731456
China,CHN,1909,20837168
China,CHN,1910,18748688
China,CHN,1911,27846400
China,CHN,1912,9786544
China,CHN,1913,10757504
China,CHN,1914,15106672
China,CHN,1915,16088624
China,CHN,1916,17964592
China,CHN,1917,19851552
China,CHN,1918,21042352
China,CHN,1919,24255680
China,CHN,1920,26769184
China,CHN,1921,25288928
China,CHN,1922,26633616
China,CHN,1923,32151600
China,CHN,1924,35093792
China,CHN,1925,33221488
China,CHN,1926,29590464
China,CHN,1927,33525600
China,CHN,1928,34115504
China,CHN,1929,35819264
China,CHN,1930,37922400
China,CHN,1931,40260032
China,CHN,1932,38600240
China,CHN,1933,42216608
China,CHN,1934,49273472
China,CHN,1935,57627392
China,CHN,1936,65039664
China,CHN,1937,60576912
China,CHN,1938,55304416
China,CHN,1939,67157456
China,CHN,1940,86100336
China,CHN,1941,107615344
China,CHN,1942,113869792
China,CHN,1943,97304848
China,CHN,1944,97865440
China,CHN,1945,50350688
China,CHN,1946,31275904
China,CHN,1947,33587888
China,CHN,1948,23852640
China,CHN,1949,59309168
China,CHN,1950,78647760
China,CHN,1951,101723632
China,CHN,1952,128221680
China,CHN,1953,134102400
China,CHN,1954,161256304
China,CHN,1955,190890736
China,CHN,1956,216348208
China,CHN,1957,256348096
China,CHN,1958,525380960
China,CHN,1959,720152146.7
China,CHN,1960,778979465.8
China,CHN,1961,550958537.3
China,CHN,1962,439342105.3
China,CHN,1963,435517603.7
China,CHN,1964,435703730.3
China,CHN,1965,474680624.9
China,CHN,1966,521458912.9
China,CHN,1967,432223556.9
China,CHN,1968,467805643
China,CHN,1969,575944671.2
China,CHN,1970,770167190.3
China,CHN,1971,874016350.7
China,CHN,1972,928893957.8
China,CHN,1973,965646598.3
China,CHN,1974,985085216
China,CHN,1975,1142101906
China,CHN,1976,1190964535
China,CHN,1977,1304402788
China,CHN,1978,1455257506
China,CHN,1979,1487113084
China,CHN,1980,1458886738
China,CHN,1981,1442782298
China,CHN,1982,1570468325
China,CHN,1983,1655810483
China,CHN,1984,1802317096
China,CHN,1985,1951773228
China,CHN,1986,2052242012
China,CHN,1987,2191053006
China,CHN,1988,2347763494
China,CHN,1989,2386884998
China,CHN,1990,2420302108
China,CHN,1991,2538923968
China,CHN,1992,2657112406
China,CHN,1993,2835795473
China,CHN,1994,3010242208
China,CHN,1995,3265056964
China,CHN,1996,3408346591
China,CHN,1997,3414549286
China,CHN,1998,3265902621
China,CHN,1999,3258134887
China,CHN,2000,3349294776
China,CHN,2001,3426144062
China,CHN,2002,3782439297
China,CHN,2003,4452310296
China,CHN,2004,5125894416
China,CHN,2005,5771168440
China,CHN,2006,6377748016
China,CHN,2007,6861750652
China,CHN,2008,7375189907
China,CHN,2009,7758811768
China,CHN,2010,8500542695
China,CHN,2011,9388199234
China,CHN,2012,9633899303
China,CHN,2013,9796527160
China,CHN,2014,9820360492
China,CHN,2015,9716467840
China,CHN,2016,9704479432
China,CHN,2017,9838754028
France,FRA,1802,2238704
France,FRA,1804,2176416
France,FRA,1810,2121456
France,FRA,1811,2051840
France,FRA,1812,2216720
France,FRA,1813,2048176
France,FRA,1814,2092144
France,FRA,1815,2341296
France,FRA,1816,2498848
France,FRA,1817,2660064
France,FRA,1818,2381600
France,FRA,1819,2557472
France,FRA,1820,2901888
France,FRA,1821,3011808
France,FRA,1822,3169360
France,FRA,1823,3169360
France,FRA,1824,3517440
France,FRA,1825,3957120
France,FRA,1826,4089024
France,FRA,1827,5910032
France,FRA,1828,6243456
France,FRA,1829,6074912
France,FRA,1830,6551232
France,FRA,1831,6052928
France,FRA,1832,6679472
France,FRA,1833,7247392
France,FRA,1834,8921840
France,FRA,1835,9258928
France,FRA,1836,10636592
France,FRA,1837,11351072
France,FRA,1838,11867696
France,FRA,1839,11570912
France,FRA,1840,11798080
France,FRA,1841,13820608
France,FRA,1842,14527760
France,FRA,1843,14549744
France,FRA,1844,15260560
France,FRA,1845,17836352
France,FRA,1846,18528848
France,FRA,1847,20840832
France,FRA,1848,16689520
France,FRA,1849,17385680
France,FRA,1850,19617056
France,FRA,1851,20038416
France,FRA,1852,21569968
France,FRA,1853,25340224
France,FRA,1854,29213072
France,FRA,1855,33071264
France,FRA,1856,34632128
France,FRA,1857,35280656
France,FRA,1858,34595488
France,FRA,1859,34991200
France,FRA,1860,38131248
France,FRA,1861,41241984
France,FRA,1862,43524656
France,FRA,1863,44187840
France,FRA,1864,46829584
France,FRA,1865,49302784
France,FRA,1866,53560352
France,FRA,1867,54278496
France,FRA,1868,55531584
France,FRA,1869,56942224
France,FRA,1870,50537552
France,FRA,1871,50262752
France,FRA,1872,60924992
France,FRA,1873,65849408
France,FRA,1874,62643408
France,FRA,1875,65259504
France,FRA,1876,65358432
France,FRA,1877,63925808
France,FRA,1878,65222864
France,FRA,1879,67498208
France,FRA,1880,76148912
France,FRA,1881,77984576
France,FRA,1882,82308096
France,FRA,1883,86320176
France,FRA,1884,82912656
France,FRA,1885,79713984
France,FRA,1886,79072784
France,FRA,1887,83290048
France,FRA,1888,86653600
France,FRA,1889,88797040
France,FRA,1890,97817808
France,FRA,1891,97982688
France,FRA,1892,98121920
France,FRA,1893,96330224
France,FRA,1894,101899504
France,FRA,1895,102775200
France,FRA,1896,106281648
France,FRA,1897,111261024
France,FRA,1898,115045936
France,FRA,1899,120300112
France,FRA,1900,129276912
France,FRA,1901,125004688
France,FRA,1902,117662032
France,FRA,1903,129342864
France,FRA,1904,125997632
France,FRA,1905,127426592
France,FRA,1906,136568272
France,FRA,1907,145596368
France,FRA,1908,146713888
France,FRA,1909,150095760
France,FRA,1910,150612384
France,FRA,1911,156907136
France,FRA,1912,158577920
France,FRA,1913,171112464
France,FRA,1914,118350864
France,FRA,1915,103233200
France,FRA,1916,109689168
France,FRA,1917,121604496
France,FRA,1918,108450736
France,FRA,1919,116141472
France,FRA,1920,151777536
France,FRA,1921,137909296
France,FRA,1922,163150592
France,FRA,1923,184189280
France,FRA,1924,206634944
France,FRA,1925,213827376
France,FRA,1926,213732112
France,FRA,1927,213039616
France,FRA,1928,211636304
France,FRA,1929,234305472
France,FRA,1930,237654368
France,FRA,1931,217513360
France,FRA,1932,191795744
France,FRA,1933,199405872
France,FRA,1934,201369776
France,FRA,1935,195390128
France,FRA,1936,198097824
France,FRA,1937,217722208
France,FRA,1938,201798464
France,FRA,1939,194617024
France,FRA,1940,137737088
France,FRA,1941,119922720
France,FRA,1942,122505840
France,FRA,1943,125257504
France,FRA,1944,79992448
France,FRA,1945,107172000
France,FRA,1946,165253728
France,FRA,1947,183639680
France,FRA,1948,196522304
France,FRA,1949,229076944
France,FRA,1950,202307760
France,FRA,1951,228761840
France,FRA,1952,227021440
France,FRA,1953,214585824
France,FRA,1954,226391232
France,FRA,1955,239024704
France,FRA,1956,268545552
France,FRA,1957,277548000
France,FRA,1958,266207920
France,FRA,1959,262289484.9
France,FRA,1960,271360835.7
France,FRA,1961,281373338.3
France,FRA,1962,298866540.3
France,FRA,1963,334226416.6
France,FRA,1964,345538082.1
France,FRA,1965,352111604.2
France,FRA,1966,347604774.3
France,FRA,1967,372475302.1
France,FRA,1968,385101039
France,FRA,1969,413759468.2
France,FRA,1970,439625058.8
France,FRA,1971,463142730.1
France,FRA,1972,481611324.9
France,FRA,1973,517578305.4
France,FRA,1974,500018909.2
France,FRA,1975,447805962.8
France,FRA,1976,506683598.2
France,FRA,1977,481986760.3
France,FRA,1978,506828272.6
France,FRA,1979,530382088.1
France,FRA,1980,506198145
France,FRA,1981,455612221.1
France,FRA,1982,438010694.3
France,FRA,1983,423952127.1
France,FRA,1984,407300969.3
France,FRA,1985,402459278.9
France,FRA,1986,387421119.5
France,FRA,1987,379692652.7
France,FRA,1988,374658419.7
France,FRA,1989,392941121.8
France,FRA,1990,403101721.8
France,FRA,1991,428649453.8
France,FRA,1992,418445165.7
France,FRA,1993,398644805.8
France,FRA,1994,393394915.3
France,FRA,1995,400563852.3
France,FRA,1996,416189552.7
France,FRA,1997,409449878.4
France,FRA,1998,429788966.1
France,FRA,1999,425674650.1
France,FRA,2000,420652709.4
France,FRA,2001,425882460.6
France,FRA,2002,420919498.2
France,FRA,2003,428002759.9
France,FRA,2004,428927747.1
France,FRA,2005,432639271.3
France,FRA,2006,422101255.2
France,FRA,2007,412898356.6
France,FRA,2008,406790823
France,FRA,2009,386942089.4
France,FRA,2010,397900468.6
France,FRA,2011,372792615.7
France,FRA,2012,374112621.7
France,FRA,2013,374258601.9
France,FRA,2014,343572632.5
France,FRA,2015,348163670.7
France,FRA,2016,350104687.1
France,FRA,2017,356300651.2
Germany,DEU,1792,468992
Germany,DEU,1793,479984
Germany,DEU,1794,443344
Germany,DEU,1795,447008
Germany,DEU,1796,534944
Germany,DEU,1797,549600
Germany,DEU,1798,575248
Germany,DEU,1799,626544
Germany,DEU,1800,795088
Germany,DEU,1801,534944
Germany,DEU,1802,553264
Germany,DEU,1803,534944
Germany,DEU,1804,1007600
Germany,DEU,1805,1040576
Germany,DEU,1806,937984
Germany,DEU,1807,2689376
Germany,DEU,1808,897680
Germany,DEU,1809,930656
Germany,DEU,1810,978288
Germany,DEU,1811,926992
Germany,DEU,1812,912336
Germany,DEU,1813,890352
Germany,DEU,1814,883024
Germany,DEU,1815,1029584
Germany,DEU,1816,2385264
Germany,DEU,1817,3381872
Germany,DEU,1818,3532096
Germany,DEU,1819,3275616
Germany,DEU,1820,3381872
Germany,DEU,1821,3532096
Germany,DEU,1822,3631024
Germany,DEU,1823,4034064
Germany,DEU,1824,3231648
Germany,DEU,1825,4338176
Germany,DEU,1826,4187952
Germany,DEU,1827,4539696
Germany,DEU,1828,4539696
Germany,DEU,1829,3631024
Germany,DEU,1830,4792512
Germany,DEU,1831,4590992
Germany,DEU,1832,3447824
Germany,DEU,1833,4378480
Germany,DEU,1834,4411456
Germany,DEU,1835,4931744
Germany,DEU,1836,5191888
Germany,DEU,1837,5950336
Germany,DEU,1838,6631840
Germany,DEU,1839,7020224
Germany,DEU,1840,9174656
Germany,DEU,1841,9548384
Germany,DEU,1842,10882080
Germany,DEU,1843,10299504
Germany,DEU,1844,10882080
Germany,DEU,1845,12611488
Germany,DEU,1846,13186736
Germany,DEU,1847,13838928
Germany,DEU,1848,12827664
Germany,DEU,1849,13622752
Germany,DEU,1850,15139648
Germany,DEU,1851,16869056
Germany,DEU,1852,19173712
Germany,DEU,1853,20760224
Germany,DEU,1854,24365600
Germany,DEU,1855,28615840
Germany,DEU,1856,30924160
Germany,DEU,1857,32939360
Germany,DEU,1858,35610416
Germany,DEU,1859,33807728
Germany,DEU,1860,36394512
Germany,DEU,1861,41329920
Germany,DEU,1862,45539856
Germany,DEU,1863,49383392
Germany,DEU,1864,56641776
Germany,DEU,1865,63467808
Germany,DEU,1866,62907216
Germany,DEU,1867,69154336
Germany,DEU,1868,74368208
Germany,DEU,1869,77592528
Germany,DEU,1870,76639888
Germany,DEU,1871,85349216
Germany,DEU,1872,92109296
Germany,DEU,1873,98367408
Germany,DEU,1874,71594560
Germany,DEU,1875,101518448
Germany,DEU,1876,103438384
Germany,DEU,1877,101302272
Germany,DEU,1878,104544912
Germany,DEU,1879,110846992
Germany,DEU,1880,124502720
Germany,DEU,1881,134263616
Germany,DEU,1882,143665440
Germany,DEU,1883,153092912
Germany,DEU,1884,157526352
Germany,DEU,1885,161183024
Germany,DEU,1886,163033344
Germany,DEU,1887,170390656
Germany,DEU,1888,186347376
Germany,DEU,1889,198848944
Germany,DEU,1890,208232448
Germany,DEU,1891,220840272
Germany,DEU,1892,214988864
Germany,DEU,1893,220712032
Germany,DEU,1894,229498304
Germany,DEU,1895,238284576
Germany,DEU,1896,256260160
Germany,DEU,1897,273554240
Germany,DEU,1898,285377968
Germany,DEU,1899,303283936
Germany,DEU,1900,326759184
Germany,DEU,1901,325557392
Germany,DEU,1902,319189360
Germany,DEU,1903,343598928
Germany,DEU,1904,356122480
Germany,DEU,1905,382323744
Germany,DEU,1906,361937248
Germany,DEU,1907,442182512
Germany,DEU,1908,446641600
Germany,DEU,1909,445571712
Germany,DEU,1910,445366528
Germany,DEU,1911,458586240
Germany,DEU,1912,499121072
Germany,DEU,1913,535083232
Germany,DEU,1914,497926608
Germany,DEU,1915,462906096
Germany,DEU,1916,500696592
Germany,DEU,1917,524578544
Germany,DEU,1918,503422608
Germany,DEU,1919,387427696
Germany,DEU,1920,429208288
Germany,DEU,1921,473179952
Germany,DEU,1922,455460848
Germany,DEU,1923,331929088
Germany,DEU,1924,451793184
Germany,DEU,1925,458065952
Germany,DEU,1926,413236912
Germany,DEU,1927,481042896
Germany,DEU,1928,504888208
Germany,DEU,1929,538970736
Germany,DEU,1930,461733616
Germany,DEU,1931,385595696
Germany,DEU,1932,347317888
Germany,DEU,1933,364853792
Germany,DEU,1934,408645920
Germany,DEU,1935,452368432
Germany,DEU,1936,499681664
Germany,DEU,1937,563563504
Germany,DEU,1938,601335680
Germany,DEU,1939,648681888
Germany,DEU,1940,654368416
Germany,DEU,1941,660839040
Germany,DEU,1942,667928880
Germany,DEU,1943,679466816
Germany,DEU,1944,600273120
Germany,DEU,1945,116064528
Germany,DEU,1946,271696592
Germany,DEU,1947,317672464
Germany,DEU,1948,377842672
Germany,DEU,1949,432187120
Germany,DEU,1950,510732288
Germany,DEU,1951,576918784
Germany,DEU,1952,611041616
Germany,DEU,1953,623565168
Germany,DEU,1954,659809456
Germany,DEU,1955,723585040
Germany,DEU,1956,766281632
Germany,DEU,1957,777999104
Germany,DEU,1958,756473104
Germany,DEU,1959,755905184
Germany,DEU,1960,814067520
Germany,DEU,1961,834970640
Germany,DEU,1962,883306128
Germany,DEU,1963,945638096
Germany,DEU,1964,969073040
Germany,DEU,1965,960264784
Germany,DEU,1966,951588432
Germany,DEU,1967,936382832
Germany,DEU,1968,984956480
Germany,DEU,1969,1052176224
Germany,DEU,1970,1026209456
Germany,DEU,1971,1037655792
Germany,DEU,1972,1042155184
Germany,DEU,1973,1086617824
Germany,DEU,1974,1063728816
Germany,DEU,1975,1003602576
Germany,DEU,1976,1092271376
Germany,DEU,1977,1054202416
Germany,DEU,1978,1081015568
Germany,DEU,1979,1120051824
Germany,DEU,1980,1102314400
Germany,DEU,1981,1050831536
Germany,DEU,1982,1018119344
Germany,DEU,1983,1014206192
Germany,DEU,1984,1035915392
Germany,DEU,1985,1046746176
Germany,DEU,1986,1050358880
Germany,DEU,1987,1035431744
Germany,DEU,1988,1032266048
Germany,DEU,1989,1016349632
Germany,DEU,1990,1012901808
Germany,DEU,1991,1014972286
Germany,DEU,1992,966705828.7
Germany,DEU,1993,956994179.8
Germany,DEU,1994,940407989.4
Germany,DEU,1995,940086746
Germany,DEU,1996,960174299.5
Germany,DEU,1997,932347358.9
Germany,DEU,1998,924404529.9
Germany,DEU,1999,896882683.4
Germany,DEU,2000,900960091.2
Germany,DEU,2001,917476828.5
Germany,DEU,2002,900955099.1
Germany,DEU,2003,901969864.6
Germany,DEU,2004,887996509.2
Germany,DEU,2005,867223505.9
Germany,DEU,2006,878747131.4
Germany,DEU,2007,852096162.2
Germany,DEU,2008,854420962.4
Germany,DEU,2009,789963521.6
Germany,DEU,2010,833684918
Germany,DEU,2011,810802325.3
Germany,DEU,2012,815197408.6
Germany,DEU,2013,832642995.5
Germany,DEU,2014,793635843.4
Germany,DEU,2015,797078165.2
Germany,DEU,2016,801753007.7
Germany,DEU,2017,799373210.9
Japan,JPN,1868,10992
Japan,JPN,1869,18320
Japan,JPN,1870,18320
Japan,JPN,1871,25648
Japan,JPN,1872,32976
Japan,JPN,1873,40304
Japan,JPN,1874,586240
Japan,JPN,1875,1439952
Japan,JPN,1876,1403312
Japan,JPN,1877,1289728
Japan,JPN,1878,1857648
Japan,JPN,1879,2315648
Japan,JPN,1880,2348624
Japan,JPN,1881,2414576
Japan,JPN,1882,2513504
Japan,JPN,1883,2711360
Japan,JPN,1884,2956848
Japan,JPN,1885,3348896
Japan,JPN,1886,3605376
Japan,JPN,1887,4473744
Japan,JPN,1888,5169904
Japan,JPN,1889,6254448
Japan,JPN,1890,6756416
Japan,JPN,1891,8123088
Japan,JPN,1892,8075456
Japan,JPN,1893,8573760
Japan,JPN,1894,11024976
Japan,JPN,1895,12226768
Japan,JPN,1896,12915600
Japan,JPN,1897,13542144
Japan,JPN,1898,17246448
Japan,JPN,1899,17272096
Japan,JPN,1900,19411872
Japan,JPN,1901,23273728
Japan,JPN,1902,24944512
Japan,JPN,1903,25787232
Japan,JPN,1904,29051856
Japan,JPN,1905,29931216
Japan,JPN,1906,32855088
Japan,JPN,1907,35071808
Japan,JPN,1908,37632944
Japan,JPN,1909,38255824
Japan,JPN,1910,39384336
Japan,JPN,1911,44209824
Japan,JPN,1912,49280800
Japan,JPN,1913,54315136
Japan,JPN,1914,58015776
Japan,JPN,1915,52842208
Japan,JPN,1916,58598352
Japan,JPN,1917,67483552
Japan,JPN,1918,71543264
Japan,JPN,1919,79193696
Japan,JPN,1920,74280272
Japan,JPN,1921,66809376
Japan,JPN,1922,71429680
Japan,JPN,1923,75907088
Japan,JPN,1924,79347584
Japan,JPN,1925,82011312
Japan,JPN,1926,82604880
Japan,JPN,1927,89482208
Japan,JPN,1928,92406080
Japan,JPN,1929,94897600
Japan,JPN,1930,86180944
Japan,JPN,1931,77918624
Japan,JPN,1932,77995568
Japan,JPN,1933,91361840
Japan,JPN,1934,101221664
Japan,JPN,1935,106406224
Japan,JPN,1936,116874272
Japan,JPN,1937,125455360
Japan,JPN,1938,131757440
Japan,JPN,1939,127767344
Japan,JPN,1940,153261456
Japan,JPN,1941,154628128
Japan,JPN,1942,147809424
Japan,JPN,1943,150652688
Japan,JPN,1944,138744688
Japan,JPN,1945,76639888
Japan,JPN,1946,52710304
Japan,JPN,1947,70037360
Japan,JPN,1948,88089888
Japan,JPN,1949,98433360
Japan,JPN,1950,102559024
Japan,JPN,1951,123484128
Japan,JPN,1952,130434736
Japan,JPN,1953,145805216
Japan,JPN,1954,142577232
Japan,JPN,1955,141917712
Japan,JPN,1956,160688384
Japan,JPN,1957,188128080
Japan,JPN,1958,181221440
Japan,JPN,1959,192619987.1
Japan,JPN,1960,232499640.8
Japan,JPN,1961,282786899.7
Japan,JPN,1962,292864430.2
Japan,JPN,1963,324835463.1
Japan,JPN,1964,358891092.2
Japan,JPN,1965,386471179.1
Japan,JPN,1966,419245118.4
Japan,JPN,1967,489307428.3
Japan,JPN,1968,561912554.1
Japan,JPN,1969,653215419.5
Japan,JPN,1970,767963109.7
Japan,JPN,1971,796544396.7
Japan,JPN,1972,852170481
Japan,JPN,1973,914265673.7
Japan,JPN,1974,914306790.6
Japan,JPN,1975,868511411
Japan,JPN,1976,907145368.9
Japan,JPN,1977,933238704.2
Japan,JPN,1978,901591433.3
Japan,JPN,1979,953072922
Japan,JPN,1980,944870323.7
Japan,JPN,1981,926837367.6
Japan,JPN,1982,897409726.2
Japan,JPN,1983,880911503.7
Japan,JPN,1984,937072088.8
Japan,JPN,1985,912402996.2
Japan,JPN,1986,912262211.1
Japan,JPN,1987,902532780.2
Japan,JPN,1988,985467063.7
Japan,JPN,1989,1021684766
Japan,JPN,1990,1155263415
Japan,JPN,1991,1167040517
Japan,JPN,1992,1176942570
Japan,JPN,1993,1170196733
Japan,JPN,1994,1225173421
Japan,JPN,1995,1237852824
Japan,JPN,1996,1249875688
Japan,JPN,1997,1243367132
Japan,JPN,1998,1203710533
Japan,JPN,1999,1239840120
Japan,JPN,2000,1262734462
Japan,JPN,2001,1248087424
Japan,JPN,2002,1277236546
Japan,JPN,2003,1285385412
Japan,JPN,2004,1280036122
Japan,JPN,2005,1286856314
Japan,JPN,2006,1262639452
Japan,JPN,2007,1300051973
Japan,JPN,2008,1229245450
Japan,JPN,2009,1160203633
Japan,JPN,2010,1211572868
Japan,JPN,2011,1261398590
Japan,JPN,2012,1302082927
Japan,JPN,2013,1314069572
Japan,JPN,2014,1264173252
Japan,JPN,2015,1223666475
Japan,JPN,2016,1204318623
Japan,JPN,2017,1205061178
Russia,RUS,1959,854787568.4
Russia,RUS,1960,889982973
Russia,RUS,1961,917825759.3
Russia,RUS,1962,963317909.8
Russia,RUS,1963,1033106290
Russia,RUS,1964,1098722364
Russia,RUS,1965,1165558338
Russia,RUS,1966,1230917490
Russia,RUS,1967,1287125543
Russia,RUS,1968,1323305250
Russia,RUS,1969,1378150152
Russia,RUS,1970,1449570620
Russia,RUS,1971,1538242126
Russia,RUS,1972,1618414877
Russia,RUS,1973,1686754299
Russia,RUS,1974,1750971645
Russia,RUS,1975,1840500779
Russia,RUS,1976,1911326084
Russia,RUS,1977,1976296765
Russia,RUS,1978,2044124917
